station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
BRI;01.07.1972 00:00;19.7;38;4
BRI;01.08.1972 00:00;46.9;82;5
BRI;01.09.1972 00:00;17.7;41;4
BRI;01.10.1972 00:00;56.5;91;4
BRI;01.11.1972 00:00;145.4;183;11
BRI;01.12.1972 00:00;7.3;10;3
BRI;01.01.1973 00:00;32.1;48;4
BRI;01.02.1973 00:00;25.1;53;5
BRI;01.03.1973 00:00;0.9;2;0
BRI;01.04.1973 00:00;45.7;85;5
BRI;01.05.1973 00:00;14.1;19;6
BRI;01.06.1973 00:00;105.2;179;9
BRI;01.07.1973 00:00;64.4;125;12
BRI;01.08.1973 00:00;33.9;60;8
BRI;01.09.1973 00:00;30.7;72;6
BRI;01.10.1973 00:00;33;53;6
BRI;01.11.1973 00:00;33.3;42;4
BRI;01.12.1973 00:00;58.8;80;9
BRI;01.01.1974 00:00;18;27;4
BRI;01.02.1974 00:00;93.3;196;11
BRI;01.03.1974 00:00;46.4;94;6
BRI;01.04.1974 00:00;5.2;10;1
BRI;01.05.1974 00:00;66.5;92;6
BRI;01.06.1974 00:00;53.6;91;6
BRI;01.07.1974 00:00;21;41;6
BRI;01.08.1974 00:00;53.3;94;7
BRI;01.09.1974 00:00;84.4;197;8
BRI;01.10.1974 00:00;82.6;133;10
BRI;01.11.1974 00:00;131.3;165;11
BRI;01.12.1974 00:00;85.6;117;12
BRI;01.01.1975 00:00;96.5;143;8
BRI;01.02.1975 00:00;5.3;11;1
BRI;01.03.1975 00:00;118.3;240;10
BRI;01.04.1975 00:00;41.3;77;4
BRI;01.05.1975 00:00;60.7;84;6
BRI;01.06.1975 00:00;52;89;7
BRI;01.07.1975 00:00;31;60;8
BRI;01.08.1975 00:00;71.4;125;10
BRI;01.09.1975 00:00;39.1;91;7
BRI;01.10.1975 00:00;59.3;95;7
BRI;01.11.1975 00:00;148.3;187;10
BRI;01.12.1975 00:00;11.5;16;2
BRI;01.01.1976 00:00;10.3;15;4
BRI;01.02.1976 00:00;7.8;16;3
