station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
BRI;01.07.2011 00:00;97.4;189;8
BRI;01.08.2011 00:00;55.3;97;8
BRI;01.09.2011 00:00;36.4;85;6
BRI;01.10.2011 00:00;60.2;97;7
BRI;01.11.2011 00:00;50.1;63;4
BRI;01.12.2011 00:00;257.2;352;20
BRI;01.01.2012 00:00;100.6;149;13
BRI;01.02.2012 00:00;0.3;1;0
BRI;01.03.2012 00:00;10.4;21;3
BRI;01.04.2012 00:00;48;89;11
BRI;01.05.2012 00:00;34.9;48;6
BRI;01.06.2012 00:00;54.5;93;11
BRI;01.07.2012 00:00;74.4;145;6
BRI;01.08.2012 00:00;36.3;64;9
BRI;01.09.2012 00:00;27.3;64;10
BRI;01.10.2012 00:00;63.2;101;9
BRI;01.11.2012 00:00;74.2;93;7
BRI;01.12.2012 00:00;170.1;233;17
BRI;01.01.2013 00:00;32.5;48;6
BRI;01.02.2013 00:00;65.9;138;7
BRI;01.03.2013 00:00;10.5;21;5
BRI;01.04.2013 00:00;119.5;222;9
BRI;01.05.2013 00:00;146.2;202;13
BRI;01.06.2013 00:00;38.9;66;5
BRI;01.07.2013 00:00;52.1;101;7
BRI;01.08.2013 00:00;34.2;60;4
BRI;01.09.2013 00:00;40;93;5
BRI;01.10.2013 00:00;47.2;76;7
BRI;01.11.2013 00:00;112.4;142;13
BRI;01.12.2013 00:00;55.3;76;3
BRI;01.01.2014 00:00;36.5;54;7
BRI;01.02.2014 00:00;84.7;178;16
BRI;01.03.2014 00:00;28.1;57;4
BRI;01.04.2014 00:00;116.3;216;6
BRI;01.05.2014 00:00;43.4;60;6
BRI;01.06.2014 00:00;17;29;7
BRI;01.07.2014 00:00;114.5;223;12
BRI;01.08.2014 00:00;61.4;108;12
BRI;01.09.2014 00:00;29.1;68;3
BRI;01.10.2014 00:00;34.2;55;7
BRI;01.11.2014 00:00;189.3;238;9
BRI;01.12.2014 00:00;40.7;56;7
BRI;01.01.2015 00:00;64.1;95;12
BRI;01.02.2015 00:00;41.5;87;6
BRI;01.03.2015 00:00;76.4;155;7
BRI;01.04.2015 00:00;24.2;45;6
BRI;01.05.2015 00:00;143.3;198;8
BRI;01.06.2015 00:00;45.3;77;7
BRI;01.07.2015 00:00;50.4;98;4
BRI;01.08.2015 00:00;103.8;182;8
BRI;01.09.2015 00:00;17;40;3
BRI;01.10.2015 00:00;56;90;7
BRI;01.11.2015 00:00;58.7;74;2
BRI;01.12.2015 00:00;6.6;9;2
BRI;01.01.2016 00:00;115.7;172;12
BRI;01.02.2016 00:00;107;224;
BRI;01.03.2016 00:00;20.4;41;6
BRI;01.04.2016 00:00;64.1;119;8
BRI;01.05.2016 00:00;96.2;133;7
BRI;01.06.2016 00:00;44.6;76;11
BRI;01.07.2016 00:00;16.2;32;5
BRI;01.08.2016 00:00;9.2;16;3
BRI;01.09.2016 00:00;32.4;76;9
BRI;01.10.2016 00:00;43.1;69;4
BRI;01.11.2016 00:00;58.5;74;7
BRI;01.12.2016 00:00;0.1;0;0
BRI;01.01.2017 00:00;32.6;48;6
BRI;01.02.2017 00:00;24;50;
BRI;01.03.2017 00:00;115.9;235;10
BRI;01.04.2017 00:00;22.6;42;4
BRI;01.05.2017 00:00;56.6;78;9
BRI;01.06.2017 00:00;53.4;91;7
BRI;01.07.2017 00:00;30.8;60;8
BRI;01.08.2017 00:00;97.8;172;9
BRI;01.09.2017 00:00;13.7;32;4
BRI;01.10.2017 00:00;17.9;29;3
BRI;01.11.2017 00:00;47.8;60;9
BRI;01.12.2017 00:00;100.8;138;12
BRI;01.01.2018 00:00;289.6;430;14
BRI;01.02.2018 00:00;21.6;45;5
BRI;01.03.2018 00:00;48.7;99;7
BRI;01.04.2018 00:00;40.9;76;5
BRI;01.05.2018 00:00;82.2;113;9
BRI;01.06.2018 00:00;26.4;45;3
BRI;01.07.2018 00:00;20;39;5
BRI;01.08.2018 00:00;17;30;7
BRI;01.09.2018 00:00;19.1;45;6
BRI;01.10.2018 00:00;156.2;251;4
BRI;01.11.2018 00:00;76.4;96;7
BRI;01.12.2018 00:00;165.8;227;12
BRI;01.01.2019 00:00;57.7;86;5
BRI;01.02.2019 00:00;14;29;3
BRI;01.03.2019 00:00;49;99;9
BRI;01.04.2019 00:00;86.8;161;6
BRI;01.05.2019 00:00;29;40;4
BRI;01.06.2019 00:00;50.2;86;9
BRI;01.07.2019 00:00;53;103;5
BRI;01.08.2019 00:00;54.8;96;9
BRI;01.09.2019 00:00;34.4;80;4
BRI;01.10.2019 00:00;58.2;93;8
BRI;01.11.2019 00:00;136.9;172;16
BRI;01.12.2019 00:00;111;152;10
BRI;01.01.2020 00:00;27.6;41;5
BRI;01.02.2020 00:00;72.8;153;7
BRI;01.03.2020 00:00;43.9;89;5
BRI;01.04.2020 00:00;18.6;35;3
BRI;01.05.2020 00:00;39.2;54;6
BRI;01.06.2020 00:00;83.6;142;11
BRI;01.07.2020 00:00;19.8;39;5
BRI;01.08.2020 00:00;67.8;119;7
BRI;01.09.2020 00:00;13.8;32;3
BRI;01.10.2020 00:00;123.8;199;7
BRI;01.11.2020 00:00;2.1;3;1
BRI;01.12.2020 00:00;68.9;94;9
BRI;01.01.2021 00:00;187.3;278;16
BRI;01.02.2021 00:00;20.3;43;3
BRI;01.03.2021 00:00;25.2;51;6
BRI;01.04.2021 00:00;12.4;23;5
BRI;01.05.2021 00:00;108;149;8
BRI;01.06.2021 00:00;46.2;79;11
BRI;01.07.2021 00:00;85.2;166;12
BRI;01.08.2021 00:00;22.9;40;6
BRI;01.09.2021 00:00;56.2;131;5
BRI;01.10.2021 00:00;33.1;53;4
BRI;01.11.2021 00:00;26.7;34;6
BRI;01.12.2021 00:00;100;137;
BRI;01.01.2022 00:00;18.9;28;
BRI;01.02.2022 00:00;33;69;
BRI;01.03.2022 00:00;4;8;
BRI;01.04.2022 00:00;41;76;5
BRI;01.05.2022 00:00;26.2;36;5
BRI;01.06.2022 00:00;56.7;97;9
BRI;01.07.2022 00:00;33.6;65;6
BRI;01.08.2022 00:00;21;37;6
BRI;01.09.2022 00:00;39;91;7
BRI;01.10.2022 00:00;42.5;68;7
BRI;01.11.2022 00:00;32;40;7
BRI;01.12.2022 00:00;86.1;118;12
BRI;01.01.2023 00:00;25.2;37;6
BRI;01.02.2023 00:00;1.1;2;0
BRI;01.03.2023 00:00;127;258;12
BRI;01.04.2023 00:00;47.2;88;10
BRI;01.05.2023 00:00;44.5;61;7
BRI;01.06.2023 00:00;29.7;51;5
BRI;01.07.2023 00:00;57.1;111;7
BRI;01.08.2023 00:00;103.9;183;9
BRI;01.09.2023 00:00;25.2;59;5
BRI;01.10.2023 00:00;48.8;78;7
BRI;01.11.2023 00:00;172.7;218;15
BRI;01.12.2023 00:00;119.1;163;9
BRI;01.01.2024 00:00;50.8;75;9
BRI;01.02.2024 00:00;31.3;66;5
BRI;01.03.2024 00:00;145.5;295;13
BRI;01.04.2024 00:00;20.6;38;3
BRI;01.05.2024 00:00;101.5;140;15
BRI;01.06.2024 00:00;44.5;76;11
BRI;01.07.2024 00:00;31.8;62;8
BRI;01.08.2024 00:00;60.7;107;5
BRI;01.09.2024 00:00;70.4;164;7
BRI;01.10.2024 00:00;93;149;9
BRI;01.11.2024 00:00;65.3;82;6
BRI;01.12.2024 00:00;74;101;8
BRI;01.01.2025 00:00;69.4;103;11
BRI;01.02.2025 00:00;9;19;1
BRI;01.03.2025 00:00;14.9;30;2
BRI;01.04.2025 00:00;169.3;314;5
BRI;01.05.2025 00:00;41.5;57;9
BRI;01.06.2025 00:00;26.2;45;5
BRI;01.07.2025 00:00;24.1;47;7
