"year_month","waterlevel_m","trend","seasonal","deterministic","stochastic"
"Jan 1981",1440.24764516129,1444.44814932142,-4.29847767890309,1440.14967164252,0.0979735187711412
"Feb 1981",1440.21764285714,1444.44888792805,-4.35349977024619,1440.0953881578,0.122254699338328
"Mär 1981",1440.28625806452,1444.44962653468,-4.10731663313496,1440.34230990154,-0.0560518370277805
"Apr 1981",1444.84546666667,1444.45036514131,-1.08524150475742,1443.36512363655,1.48034303011696
"Mai 1981",1446.69532258065,1444.45110374794,2.31053925484888,1446.76164300278,-0.0663204221393698
"Jun 1981",1447.7328,1444.45184235456,3.07826196513215,1447.5301043197,0.202695680303805
"Jul 1981",1447.86516129032,1444.45258096119,3.55618971676576,1448.00877067796,-0.143609387635706
"Aug 1981",1448.12170967742,1444.45331956782,3.55945833133592,1448.01277789916,0.108931778263013
"Sep 1981",1447.69953333333,1444.45405817445,2.99371755485911,1447.44777572931,0.251757604025443
"Okt 1981",1446.84419354839,1444.45479678108,2.29441036359635,1446.74920714467,0.0949864037133921
"Nov 1981",1442.27883333333,1444.45553538771,-0.283199378051541,1444.17233600965,-1.89350267632085
"Dez 1981",1440.45783870968,1444.45627399433,-3.66581785736808,1440.79045613697,-0.332617427288369
"Jan 1982",1440.36058064516,1444.45701260096,-4.29934795678186,1440.15766464418,0.202916000981077
"Feb 1982",1440.32782142857,1444.45775120759,-4.35624240793328,1440.10150879966,0.226312628914229
"Mär 1982",1440.331,1444.45893349254,-4.10593722050487,1440.35299627203,-0.0219962720339026
"Apr 1982",1443.619,1444.46011577749,-1.07607151858732,1443.3840442589,0.234955741100066
"Mai 1982",1446.89112903226,1444.46129806244,2.31007494768996,1446.77137301013,0.119756022132606
"Jun 1982",1447.76923333333,1444.46248034738,3.07864267730541,1447.54112302469,0.228110308644091
"Jul 1982",1448.31370967742,1444.46366263233,3.55391410943462,1448.01757674177,0.296132935652622
"Aug 1982",1448.10590322581,1444.46484491728,3.55736252822822,1448.02220744551,0.0836957802978304
"Sep 1982",1447.80756666667,1444.46602720223,2.98996113694645,1447.45598833918,0.351578327491325
"Okt 1982",1446.75748387097,1444.46720948718,2.29139015887882,1446.75859964606,-0.00111577508823757
"Nov 1982",1443.8161,1444.46839177213,-0.282796921188387,1444.18559485094,-0.369494850936917
"Dez 1982",1440.37203225806,1444.46957405707,-3.66186285607163,1440.807711201,-0.435678942937784
"Jan 1983",1440.34716129032,1444.47075634202,-4.30021300788436,1440.17054333414,0.176617956184828
"Feb 1983",1440.32271428571,1444.47193862697,-4.3589834688416,1440.11295515813,0.209759127585357
"Mär 1983",1440.36480645161,1444.47312091192,-4.10455988109349,1440.36856103083,-0.0037545792124547
"Apr 1983",1443.78923333333,1444.47472224907,-1.06690549081172,1443.40781675826,0.381416575077992
"Mai 1983",1446.5794516129,1444.47632358622,2.30960479696074,1446.78592838318,-0.206476770272957
"Jun 1983",1447.4861,1444.47792492336,3.07901612980944,1447.55694105317,-0.0708410531731261
"Jul 1983",1448.35632258065,1444.47952626051,3.55162982633532,1448.03115608685,0.325166493797497
"Aug 1983",1448.07409677419,1444.48112759766,3.55525786464837,1448.03638546231,0.03771131188455
"Sep 1983",1447.72416666667,1444.48272893481,2.98619567385764,1447.46892460867,0.255242058000022
"Okt 1983",1446.9835483871,1444.48433027196,2.28836226859223,1446.77269254055,0.210855846547247
"Nov 1983",1443.8891,1444.48593160911,-0.282400790287218,1444.20353081882,-0.314430818818664
"Dez 1983",1440.29396774194,1444.48753294625,-3.65791233245378,1440.8296206138,-0.535652871864841
"Jan 1984",1440.2615483871,1444.4891342834,-4.30108068838206,1440.18805359502,0.0734947920761897
"Feb 1984",1440.22634482759,1444.49073562055,-4.3617260796049,1440.12900954095,0.0973352866403729
"Mär 1984",1440.23364516129,1444.4923369577,-4.10318301199689,1440.3891539457,-0.155508784412177
"Apr 1984",1442.15473333333,1444.49393829485,-1.05773970486679,1443.43619858998,-1.28146525664738
"Mai 1984",1446.58164516129,1444.49583823546,2.30913463288497,1446.80497286834,-0.223327707051794
"Jun 1984",1447.26936666667,1444.49773817607,3.07938957564019,1447.57712775171,-0.307761085040056
"Jul 1984",1448.00022580645,1444.49963811668,3.54934554323602,1448.04898365991,-0.0487578534607565
"Aug 1984",1447.92748387097,1444.50153805729,3.55315323929311,1448.05469129658,-0.127207425611232
"Sep 1984",1447.26793333333,1444.5034379979,2.98243028721802,1447.48586828511,-0.21793495178008
"Okt 1984",1446.66803225806,1444.5053379385,2.28533503444175,1446.79067297295,-0.122640714881982
"Nov 1984",1445.8671,1444.50723787911,-0.282003423563014,1444.22523445555,1.64186554444836
"Dez 1984",1440.40193548387,1444.50913781972,-3.65395887743485,1440.85517894229,-0.453243458418228
"Jan 1985",1440.33332258065,1444.51103776033,-4.30194374190062,1440.20909401843,0.124228562212238
"Feb 1985",1440.29357142857,1444.51293770094,-4.3644617270256,1440.14847597392,0.145095454653756
"Mär 1985",1440.29267741935,1444.51483764155,-4.10179684319422,1440.41304079836,-0.12036337900372
"Apr 1985",1442.85023333333,1444.51673758216,-1.04856071949696,1443.46817686267,-0.617943529332251
"Mai 1985",1446.70741935484,1444.51863752277,2.30868156795292,1446.82731909072,-0.119899735886065
"Jun 1985",1447.50493333333,1444.52203718772,3.07978809757519,1447.60182528529,-0.0968919519609699
"Jul 1985",1448.1135483871,1444.52543685267,3.54709431320148,1448.07253116587,0.0410172212286852
"Aug 1985",1448.00506451613,1444.52883651761,3.55109396492448,1448.07993048254,-0.0748659664091065
"Sep 1985",1447.79943333333,1444.53223618256,2.97872254948691,1447.51095873205,0.288474601285543
"Okt 1985",1447.26912903226,1444.53563584751,2.28237765319279,1446.8180135007,0.451115531557207
"Nov 1985",1443.21473333333,1444.53903551246,-0.281523999944269,1444.25751151251,-1.04277817917773
"Dez 1985",1440.27829032258,1444.5424351774,-3.64991702938507,1440.89251814802,-0.614227825436728
"Jan 1986",1440.2375483871,1444.54583484235,-4.30295482147073,1440.24288002088,-0.00533163378236168
"Feb 1986",1440.20821428571,1444.5492345073,-4.36831161180655,1440.18092289549,0.0272913902240361
"Mär 1986",1440.21938709677,1444.55263417224,-4.10009492951052,1440.45253924273,-0.233152145959366
"Apr 1986",1440.46943333333,1444.55603383719,-1.03724947767905,1443.51878435951,-3.04935102617901
"Mai 1986",1447.01432258065,1444.55943350214,2.30765439688059,1446.86708789902,0.14723468162606
"Jun 1986",1447.6041,1444.56283316709,3.07960586420912,1447.64243903129,-0.038339031294754
"Jul 1986",1448.04303225806,1444.56831942496,3.54387155691996,1448.11219098188,-0.069158723812734
"Aug 1986",1448.11412903226,1444.57380568283,3.54775653680661,1448.12156221964,-0.00743318737772825
"Sep 1986",1447.69916666667,1444.5792919407,2.97380535961871,1447.55309730032,0.146069366347547
"Okt 1986",1447.2255483871,1444.58477819857,2.27842186160477,1446.86320006018,0.362348326919573
"Nov 1986",1446.36616666667,1444.59026445644,-0.277801865585744,1444.31246259086,2.05370407580858
"Dez 1986",1443.93693548387,1444.59575071432,-3.64407664089663,1440.95167407342,2.98526141045204
"Jan 1987",1440.19264516129,1444.60123697219,-4.3040768152181,1440.29716015697,-0.104514995678755
"Feb 1987",1440.1795,1444.60672323006,-4.37227877301421,1440.23444445704,-0.0549444570447122
"Mär 1987",1440.17393548387,1444.61220948793,-4.09851665450296,1440.51369283343,-0.339757349556521
"Apr 1987",1441.75593333333,1444.6176957458,-1.02605787893143,1443.59163786687,-1.83570453353741
"Mai 1987",1446.70570967742,1444.62318200367,2.30651157834383,1446.92969358202,-0.223983904598072
"Jun 1987",1447.34393333333,1444.62866826155,3.07931793402501,1447.70798619557,-0.364052862237259
"Jul 1987",1448.1255483871,1444.63415451942,3.54055305446678,1448.17470757388,-0.0491591867869374
"Aug 1987",1448.05122580645,1444.63823293178,3.54433775767381,1448.18257068945,-0.131344882997837
"Sep 1987",1447.9504,1444.64231134413,2.96882121389232,1447.61113255803,0.339267441973107
"Okt 1987",1446.93941935484,1444.64638975649,2.27441449831109,1446.9208042548,0.0186151000345944
"Nov 1987",1446.4231,1444.65046816885,-0.274115918780352,1444.37635225007,2.0467477499285
"Dez 1987",1440.88103225806,1444.65454658121,-3.63826069188327,1441.01628588933,-0.135253631262685
"Jan 1988",1440.25719354839,1444.65862499357,-4.30521150036249,1440.35341349321,-0.0962199448197225
"Feb 1988",1440.23327586207,1444.66270340593,-4.37625326591958,1440.28645014001,-0.0531742779392061
"Mär 1988",1440.22709677419,1444.66678181829,-4.09694035149384,1440.56984146679,-0.342744692598899
"Apr 1988",1442.1879,1444.67086023065,-1.01486728973293,1443.65599294091,-1.46809294091236
"Mai 1988",1447.02780645161,1444.674938643,2.30536871270727,1446.98030735571,0.047499095901685
