"Date","observed_jungfrau","trend_jungfrau","seasonal_jungfrau","remainder_jungfrau","mass_balance_glacier","trend_glacier","seasonal_glacier","deterministic_glacier","stochastic_glacier","waterlevel","trend_waterlevel","seasonal_waterlevel","deterministic_waterlevel","stochastic_waterlevel","precipitation","trend_precipitation","seasonal_precipitation","remainder_precipitation"
1981-01-01,-15.6,-8.10209254162199,-5.90388367658727,-1.59402378179074,195.616038882138,7.3319182071117,2.36471943080693,9.69663763791862,-48.7080026019339,1440.24764516129,1444.44814932142,-4.29847767890309,1440.14967164252,0.0979735187711412,146.7,68.2909219143924,5.91255991608644,72.4965181695212
1981-02-01,-14.6,-8.09665483195798,-6.23458989946866,-0.268755268573358,183.076549210207,10.6531761407114,1.84377328219654,12.496949422908,-11.9083809819322,1440.21764285714,1444.44888792805,-4.35349977024619,1440.0953881578,0.122254699338328,20.9,68.1800197488586,-1.58765615780854,-45.6923635910501
1981-03-01,-10.5,-8.09121712229398,-5.30900951852741,2.90022664082138,131.664641555286,13.9744340743112,2.20851446637585,16.182948540687,-72.7995569854015,1440.28625806452,1444.44962653468,-4.10731663313496,1440.34230990154,-0.0560518370277805,194.1,68.0691175833249,-1.90679572825048,127.937678144926
1981-04-01,-9.3,-8.08577941262997,-3.41765392957046,2.20343334220043,116.617253948967,17.3312461882087,2.51495201596218,19.8461982041709,-108.890001947511,1444.84546666667,1444.45036514131,-1.08524150475742,1443.36512363655,1.48034303011696,46.7,67.9582154177911,-4.44432169912861,-16.8138937186625
1981-05-01,-6.8,-8.08034170296597,1.11775681940942,0.16258488355655,-440.444444444444,20.6880583021062,-5.11812823734991,15.5699300647563,114.361316098534,1446.69532258065,1444.45110374794,2.31053925484888,1446.76164300278,-0.0663204221393698,101.1,67.8473132522574,5.47541021655136,27.7772765311912
1981-06-01,-3.1,-8.07490399330196,4.20224357244052,0.772660420861438,-200.790849673203,29.8228026066912,5.94505736701885,35.76785997371,139.054550021596,1447.7328,1444.45184235456,3.07826196513215,1447.5301043197,0.202695680303805,42.8,67.7364110867237,-4.33431469385167,-20.602096392872
1981-07-01,-2.1,-8.06946628363796,7.11730100171526,-1.1478347180773,-136.019607843137,38.9575469112761,-4.32510475455603,34.6324421567201,38.0219831493139,1447.86516129032,1444.45258096119,3.55618971676576,1448.00877067796,-0.143609387635706,66.7,67.6255089211899,-15.6112022062299,14.68569328504
1981-08-01,-0.4,-8.06402857397395,7.05120596782016,0.612822606153795,-25.9084967320261,49.6927116129865,-3.20226287347577,46.4904487395107,-72.3989454715368,1448.12170967742,1444.45331956782,3.55945833133592,1448.01277789916,0.108931778263013,11.3,67.5146067556562,-4.60266708246626,-51.6119396731899
1981-09-01,-2.9,-8.05859086430995,5.22068607096682,-0.0620952066568723,-187.83660130719,60.4278763146968,-3.97323160693736,56.4546447077595,-139.954229440363,1447.69953333333,1444.45405817445,2.99371755485911,1447.44777572931,0.251757604025443,92.4,67.4037045901224,-18.9841276730866,43.9804230829641
1981-10-01,-7.5,-8.05315315464594,2.34033934017918,-1.78718618553324,159.353146853147,56.122545163295,-0.0637076506197071,56.0588375126753,14.2639326697546,1446.84419354839,1444.45479678108,2.29441036359635,1446.74920714467,0.0949864037133921,146,67.2928024245887,5.59592367292911,73.1112739024822
1981-11-01,-11.2,-8.04873624658854,-2.07901034349375,-1.0722534099177,237.967365967366,51.8172140118933,0.724806315739995,52.5420203276333,53.7607040844471,1442.27883333333,1444.45553538771,-0.283199378051541,1444.17233600965,-1.89350267632085,49.2,67.181900259055,18.7837450808252,-36.7656453398801
1981-12-01,-15.7,-8.04431933853114,-4.13096699017526,-3.5247136712936,333.579254079254,34.7605558030493,1.08061191815354,35.8411677212028,113.407588180651,1440.45783870968,1444.45627399433,-3.66581785736808,1440.79045613697,-0.332617427288369,185.1,67.0709980935212,15.721634688546,102.307367217933
1982-01-01,-12.8,-8.03990243047375,-5.88366727790218,1.12356970837592,271.962703962704,17.7038975942052,2.36471943080693,20.0686170250122,56.2780480555533,1440.36058064516,1444.45701260096,-4.29934795678186,1440.15766464418,0.202916000981077,136.3,66.9600959279875,5.95027034308975,63.3896337289228
1982-02-01,-13.1,-8.03548552241635,-6.20784220174411,1.14332772416046,278.33682983683,6.36170764897374,1.84377328219654,8.20548093117028,87.054799695453,1440.32782142857,1444.45775120759,-4.35624240793328,1440.10150879966,0.226312628914229,3.4,66.8720125297179,-1.67630984620317,-61.7957026835147
1982-03-01,-14.7,-8.03106861435895,-5.28655317944308,-1.38237820619797,312.332167832168,-4.98048229625776,2.20851446637585,-2.77196782988191,183.439494106764,1440.331,1444.45893349254,-4.10593722050487,1440.35299627203,-0.0219962720339026,63.2,66.7839291314483,-1.93071025362313,-1.65321887782514
1982-04-01,-10.8,-8.02665170630155,-3.42648901970087,0.653140726002422,229.468531468531,-14.6562167208728,2.51495201596218,-12.1412647049107,124.992542224475,1443.619,1444.46011577749,-1.07607151858732,1443.3840442589,0.234955741100066,8.6,66.6958457331787,-4.45407475157729,-53.6417709816014
1982-05-01,-6.1,-8.02223479824415,1.12761084560788,0.794623952636271,-1008.57281553398,-24.3319511454879,-5.11812823734991,-29.4500793828378,-538.678291706698,1446.89112903226,1444.46129806244,2.31007494768996,1446.77137301013,0.119756022132606,14.2,66.6077623349091,5.53345480933509,-57.9412171442442
1982-06-01,-2.4,-8.01781789018675,4.18841018631478,1.42940770387197,-396.815533980582,-39.0709014957429,5.94505736701885,-33.1258441287241,-162.898840178656,1447.76923333333,1444.46248034738,3.07864267730541,1447.54112302469,0.228110308644091,32.4,66.5196789366395,-4.34679258022833,-29.7728863564111
1982-07-01,0.8,-8.01340098212935,7.12602233463825,1.68737864749111,-132.271844660194,-53.809851845998,-4.32510475455603,-58.134956600554,61.8827197834971,1448.31370967742,1444.46366263233,3.55391410943462,1448.01757674177,0.296132935652622,81.9,66.4315955383699,-15.5724453529178,31.040849814548
1982-08-01,-0.7,-8.00898407407196,7.0695305885922,0.239453485479761,-115.73786407767,-62.457612094615,-3.20226287347577,-65.6598749680907,-24.169492377553,1448.10590322581,1444.46484491728,3.55736252822822,1448.02220744551,0.0836957802978304,79.4,66.3435121401003,-4.58496779719208,17.6414556570918
1982-09-01,-0.3,-8.00456716601456,5.17022130722547,2.53434585878908,-49.6019417475728,-71.1053723432319,-3.97323160693736,-75.0786039501693,213.313263509786,1447.80756666667,1444.46602720223,2.98996113694645,1447.45598833918,0.351578327491325,60.2,66.2554287418307,-18.9963475027181,12.9409187608874
1982-10-01,-6.4,-8.00015025795716,2.30436764234139,-0.704217384384227,110.689206762029,-56.8740055666591,-0.0637076506197071,-56.9377132172788,8.27377312616052,1446.75748387097,1444.46720948718,2.29139015887882,1446.75859964606,-0.00111577508823757,95.7,66.1673453435611,5.5998958280516,23.9327588283873
1982-11-01,-8.5,-7.99573334989976,-2.10521113202839,1.60094448192815,147.009102730819,-42.6426387900862,0.724806315739995,-41.9178324743462,-49.0404307622005,1443.8161,1444.46839177213,-0.282796921188387,1444.18559485094,-0.369494850936917,50,66.0792619452915,18.7631513460527,-34.8424132913442
1982-12-01,-12.6,-7.98890414708471,-4.13544985800803,-0.475645994907258,217.919375812744,-16.2781927316494,1.08061191815354,-15.1975808134958,-100.462297453014,1440.37203225806,1444.46957405707,-3.66186285607163,1440.807711201,-0.435678942937784,78.9,65.9911785470219,15.7330640920468,-2.82424263906871
1983-01-01,-10.9,-7.98207494426967,-5.85926142747167,2.94133637174133,188.51755526658,10.0862533267875,2.36471943080693,12.4509727575944,-95.8961214537184,1440.34716129032,1444.47075634202,-4.30021300788436,1440.17054333414,0.176617956184828,102.1,65.9030951487523,5.98798077009306,30.2089240811546
1983-02-01,-16.5,-7.97524574145462,-6.17686710355513,-2.34788715499025,285.370611183355,23.2020509904809,1.84377328219654,25.0458242726774,-18.0120429261523,1440.32271428571,1444.47193862697,-4.3589834688416,1440.11295515813,0.209759127585357,46.2,65.7483368057817,-1.7649635345978,-17.7833732711839
1983-03-01,-11.3,-7.96841653863957,-5.25983149117531,1.92824802981488,195.435630689207,36.3178486541743,2.20851446637585,38.5263631205502,-155.422900263511,1440.36480645161,1444.47312091192,-4.10455988109349,1440.36856103083,-0.0037545792124547,28.3,65.5935784628111,-1.95462477899577,-35.3389536838154
1983-04-01,-10.7,-7.96158733582452,-3.43134730729603,0.692934643120552,185.058517555267,41.690235282708,2.51495201596218,44.2051872986701,-88.6152012119351,1443.78923333333,1444.47472224907,-1.06690549081172,1443.40781675826,0.381416575077992,80,65.4388201198406,-4.46382780402597,19.0250076841854
