"date","observed","trend","seasonal","remainder"
1933,-16.9,-8.0365876555108,-6.5888727794626,-2.2745395650266
1933.08333333333,-15.2,-8.04032403136544,-6.41325583188429,-0.746420136750263
1933.16666666667,-12.4,-8.04406040722008,-4.65899517377798,0.303055580998061
1933.25,-9.7,-8.04779678307472,-2.14759602536261,0.495392808437334
1933.33333333333,-8.3,-8.05153315892936,1.47623101334162,-1.72469785441226
1933.41666666667,-5.1,-8.055269534784,4.99224779291711,-2.03697825813312
1933.5,0.5,-8.05900591063863,7.13152244912973,1.42748346150891
1933.58333333333,0.3,-8.06274228649327,7.05315837366645,1.30958391282682
1933.66666666667,-2.6,-8.06647866234791,5.37066359679312,0.0958150655547847
1933.75,-7.2,-8.07021503820255,1.58547315796221,-0.715258119759662
1933.83333333333,-13.4,-8.07395141405718,-2.39151083661923,-2.93453774932359
1933.91666666667,-14.2,-8.07768778991182,-5.40029215860055,-0.722020051487624
1934,-14,-8.08142416576646,-6.58828183789412,0.669706003660583
1934.08333333333,-11.4,-8.0851605416211,-6.42237542298051,3.1075359646016
1934.16666666667,-13.3,-8.08920073352181,-4.65681792426572,-0.553981342212474
1934.25,-8.9,-8.09324092542252,-2.14932056150595,1.34256148692847
1934.33333333333,-4.3,-8.09728111732323,1.47634696072696,2.32093415659628
1934.41666666667,-2.5,-8.10132130922394,4.98861466091806,0.612706648305882
1934.5,0,-8.10536150112465,7.12930420276821,0.976057298356448
1934.58333333333,-1,-8.10940169302537,7.04980144084708,0.0596002521782868
1934.66666666667,-1.7,-8.11344188492608,5.3703840261597,1.04305785876638
1934.75,-6.2,-8.11748207682679,1.59180697570444,0.325675101122346
1934.83333333333,-10.5,-8.1215222687275,-2.38803806149023,0.00956033021772917
1934.91666666667,-10.4,-8.12556246062821,-5.39189762853172,3.11746008915994
1935,-16.9,-8.12960265252893,-6.58778672676682,-2.18261062070425
1935.08333333333,-15.1,-8.13364284442964,-6.43158940635117,-0.534767749219197
1935.16666666667,-14.5,-8.13768303633035,-4.65473362886117,-1.70758333480848
1935.25,-12.6,-8.14203198749767,-2.15113151044503,-2.30683650205731
1935.33333333333,-7.8,-8.14638093866499,1.47638303662854,-1.13000209796356
1935.41666666667,-1.5,-8.15072988983231,4.98490984694423,1.66582004288808
1935.5,-0.6,-8.15507884099963,7.12702246394087,0.428056377058758
1935.58333333333,-1.7,-8.15942779216695,7.04639258354325,-0.586964791376305
1935.66666666667,-2,-8.16377674333427,5.37006409902318,0.79371264431109
1935.75,-6.9,-8.16812569450159,1.5981105853438,-0.329984890842207
1935.83333333333,-10.3,-8.17247464566891,-2.3845853460639,0.257059991732808
1935.91666666667,-15.2,-8.17682359683623,-5.38351654763345,-1.63965985553032
1936,-12.2,-8.18117254800355,-6.58729845427797,2.56847100228152
1936.08333333333,-14.5,-8.18552149917087,-6.44080738159447,0.126328880765339
1936.16666666667,-12.1,-8.18987045033819,-4.65265047856346,0.742520928901657
1936.25,-10.9,-8.19421940150551,-2.15294304960622,-0.55283754888827
1936.33333333333,-5.3,-8.19966226335021,1.47641907719273,1.42324318615748
1936.41666666667,-3.7,-8.20510512519491,4.98120501530169,-0.476099890106786
1936.5,-1.6,-8.21054798703961,7.12474072511354,-0.51419273807393
1936.58333333333,-0.9,-8.2159908488843,7.04298349436884,0.273007354515458
1936.66666666667,-3.9,-8.221433710729,5.36974370814549,-1.04830999741649
1936.75,-9.2,-8.2268765725737,1.60441184629893,-2.57753527372523
1936.83333333333,-11.7,-8.2323194344184,-2.38113686426484,-1.08654370131676
1936.91666666667,-11.9,-8.23776229626309,-5.37514362505731,1.71290592132041
1937,-11.9,-8.24320515810779,-6.5868222648061,2.93002742291389
1937.08333333333,-13.7,-8.24864801995249,-6.45003990488693,0.998687924839422
1937.16666666667,-14.5,-8.25409088179718,-4.6505843413471,-1.59532477685572
1937.25,-11.6,-8.25953374364188,-2.15476785526956,-1.18569840108856
1937.33333333333,-5.7,-8.26497660548658,1.47644559783396,1.08853100765261
1937.41666666667,-3.1,-8.27446633971727,4.97750494621063,0.196961393506646
1937.5,-0.7,-8.28395607394796,7.12247803131208,0.46147804263588
1937.58333333333,-1.8,-8.29344580817865,7.03961599734622,-0.546170189167567
1937.66666666667,-4.7,-8.30293554240935,5.3694874565455,-1.76655191413615
1937.75,-6.6,-8.31242527664004,1.61080230512226,0.101622971517777
1937.83333333333,-10.8,-8.32191501087073,-2.37757412600707,-0.100510863122198
1937.91666666667,-15.6,-8.33140474510142,-5.36663373295211,-1.90196152194646
1938,-14.6,-8.34089447933211,-6.58371245488369,0.324606934215801
1938.08333333333,-14.4,-8.35038421356281,-6.45944620955105,0.409830423113854
1938.16666666667,-9.8,-8.3598739477935,-4.64890297244498,3.20877692023848
1938.25,-14.3,-8.36936368202419,-2.15968846398036,-3.77094785399545
1938.33333333333,-8.1,-8.37885341625488,1.47570145900348,-1.1968480427486
1938.41666666667,-1.2,-8.38834315048557,4.97471807125393,2.21362507923164
1938.5,-1.7,-8.39188051988116,7.11872796129878,-0.426847441417625
1938.58333333333,-1.3,-8.39541788927674,7.03478488484576,0.0606330044309775
1938.66666666667,-3,-8.39895525867232,5.36868387780765,0.0302713808646757
1938.75,-4.9,-8.40249262806791,1.61775983501151,1.8847327930564
1938.83333333333,-6.6,-8.40602999746349,-2.37085480767449,4.17688480513798
1938.91666666667,-14.4,-8.40956736685907,-5.35659305586738,-0.633839577273543
1939,-13.3,-8.41310473625466,-6.58071967147796,1.69382440773262
