"year_month","month","mass_balance_monthly","trend","seasonal","deterministic","stochastic"
Jan 1933,1,124.09963099631,NA,NA,NA,NA
Feb 1933,2,111.616236162362,NA,NA,NA,NA
Mar 1933,3,91.0553505535056,NA,NA,NA,NA
Apr 1933,4,71.2287822878229,NA,NA,NA,NA
May 1933,5,-1017.24404761905,NA,NA,NA,NA
Jun 1933,6,-625.053571428571,NA,NA,NA,NA
Jul 1933,7,-61.2797619047619,NA,NA,NA,NA
Aug 1933,8,-36.7678571428571,NA,NA,NA,NA
Sep 1933,9,-318.654761904762,NA,NA,NA,NA
Oct 1933,10,136.922330097087,NA,NA,NA,NA
Nov 1933,11,254.827669902913,NA,NA,NA,NA
Dec 1933,12,270.041262135922,NA,NA,NA,NA
Jan 1934,1,266.23786407767,94.5889844832242,2.36471943080693,96.9537039140312,45.1845291673287
Feb 1934,2,216.793689320388,77.5420370313983,1.84377328219654,79.3858103135948,25.7916428444319
Mar 1934,3,252.925970873786,60.4950895795723,2.20851446637585,62.7036040459481,99.1670162743327
Apr 1934,4,169.251213592233,45.8688828405612,2.51495201596218,48.3838348565234,49.6385964478868
May 1934,5,-1106.68421052632,31.2426761015501,-5.11812823734991,26.1245478642002,-115.564710771468
Jun 1934,6,-643.421052631579,18.6807444208658,5.94505736701885,24.6258017878847,-42.9932829908923
Jul 1934,7,0,6.11881274018154,-4.32510475455603,1.79370798562551,59.4860539191364
Aug 1934,8,-257.368421052632,-5.43722093357268,-3.20226287347577,-8.63948380704844,-211.961080102726
Sep 1934,9,-437.526315789474,-16.9932546073269,-3.97323160693736,-20.9664862142643,-97.9050676704475
Oct 1934,10,114.649651972158,-16.6861941312065,-0.0637076506197071,-16.7499017818262,-5.52277634310339
Nov 1934,11,194.164733178654,-16.3791336550861,0.724806315739995,-15.6543273393461,-45.0086093849121
Dec 1934,12,192.31554524362,1.95159904135588,1.08061191815354,3.03221095950943,-80.7579278518122
Jan 1935,1,312.512761020882,20.2823317377979,2.36471943080693,22.6470511686048,23.627845774607
Feb 1935,2,279.227378190255,39.8364411365782,1.84377328219654,41.6802144187747,20.7534744510922
Mar 1935,3,268.132250580046,59.3905505353584,2.20851446637585,61.5990650017343,-46.3927852954742
Apr 1935,4,232.997679814385,72.0021405355513,2.51495201596218,74.5170925515134,-10.7706263293613
May 1935,5,-927.970588235294,84.6137305357441,-5.11812823734991,79.4956022983942,99.2180199926274
Jun 1935,6,-178.455882352941,86.9132286315988,5.94505736701885,92.8582859986176,372.10688428002
Jul 1935,7,-71.3823529411765,89.2127267274535,-4.32510475455603,84.8876219728975,-156.269974914074
Aug 1935,8,-202.25,81.0624043161341,-3.20226287347577,77.8601414426584,-22.7417203900268
Sep 1935,9,-237.941176470588,72.9120819048148,-3.97323160693736,68.9388502978774,130.646289021008
Oct 1935,10,123.208282582217,59.5030967026269,-0.0637076506197071,59.4393890520072,-50.8807584419482
Nov 1935,11,183.919610231425,46.094111500439,0.724806315739995,46.818917816179,-57.0640407634083
Dec 1935,12,271.415347137637,28.5558165623035,1.08061191815354,29.636428480457,49.4633734135604
Jan 1936,1,217.84652862363,11.017521624168,2.36471943080693,13.3822410549749,-108.048473452227
Feb 1936,2,258.915956151035,-3.422447141782,1.84377328219654,-1.57867385958546,-18.7327481796345
